交易所,板块,代码,名称,行业,地域板块,概念题材,最新价,涨跌幅(%),成交额(亿元),振幅(%),换手率(%),量比,市盈率,市净率,主线评分,主线明细,评分,评分明细,优先级,入选理由,建议建仓位,是否适合今天建第一笔,建议动作,风险提示,排名
深交所,创业板,300024,机器人,自动化设备,辽宁板块,"军工,参股保险,3D打印,特斯拉概念,养老概念,医疗器械概念,央国企改革,人工智能,工业互联,UWB概念,半导体概念,机器视觉,机器人概念,人形机器人",16.19,0.62,11.15,3.92,4.42,1.51,-68.51,6.26,13.00,行业自动化设备均涨1.95%上涨率67%前排59%/24%；强概念机器视觉均涨1.77%上涨率74%；主线13/15,83.04,成交额分层5/12；换手5/5；量比4/4；涨跌幅5/8；振幅质量近似5/5；日内位置6/8；尾盘近似10.04/20；历史风险22/22；空间盈亏比8/13；行业自动化设备均涨1.95%上涨率67%前排59%/24%；强概念机器视觉均涨1.77%上涨率74%；主线13/15,核心关注,成交额观察、振幅适中、换手率适中、涨幅未过热、量比健康、价格区间适合重仓隔夜,16.03-16.16企稳可分批看第一笔,是,可按区间观察第一笔10%，只做试仓；参考区间：16.03-16.16企稳可分批看第一笔,若跌破日内低点15.75或回踩后持续弱于昨收16.09，应降低仓位预期,Top1
上交所,沪市主板,600875,东方电气,其他电源设备Ⅱ,四川板块,"成渝特区,核能核电,西部大开发,风能,燃料电池概念,央国企改革,一带一路,贬值受益,氢能源,新能源车,储能概念,抽水蓄能,超超临界发电,可控核聚变,雅下水电概念,电池技术",39.97,2.30,41.43,7.78,4.56,0.96,21.80,2.95,11.00,行业其他电源设备Ⅱ均涨0.74%上涨率62%前排28%/3%；强概念抽水蓄能均涨1.24%上涨率66%；主线11/15,79.00,成交额分层12/12；换手5/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置3/8；尾盘近似4.76/20；历史风险22/22；空间盈亏比13/13；行业其他电源设备Ⅱ均涨0.74%上涨率62%前排28%/3%；强概念抽水蓄能均涨1.24%上涨率66%；主线11/15；执行条件不足封顶79,优先观察,成交额高、换手率适中、涨幅未过热、价格区间适合重仓隔夜,39.21-39.82企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：39.21-39.82企稳可分批看第一笔,若跌破日内低点38.10或回踩后持续弱于昨收39.07，应降低仓位预期,Top2
上交所,沪市主板,600699,均胜电子,汽车零部件,浙江板块,"特斯拉概念,充电桩,无人驾驶,华为概念,新能源车,车联网(车路云),无线充电,华为汽车,激光雷达,光通信模块,高压快充,小米汽车,英伟达概念,人形机器人",30.93,1.84,29.54,3.72,7.15,1.37,29.82,2.74,9.00,行业汽车零部件均涨-0.17%上涨率38%前排17%/2%；强概念英伟达概念均涨1.71%上涨率64%；主线9/15,82.44,成交额分层9/12；换手3/5；量比4/4；涨跌幅8/8；振幅质量近似5/5；日内位置8/8；尾盘近似13.44/20；历史风险22/22；空间盈亏比1/13；行业汽车零部件均涨-0.17%上涨率38%前排17%/2%；强概念英伟达概念均涨1.71%上涨率64%；主线9/15,优先观察,流动性达标、振幅适中、换手率适中、涨幅未过热、量比健康、价格区间适合重仓隔夜；组合相关性降级(概念重叠:人形机器人/特斯拉概念),30.65-30.87企稳可分批看第一笔,是,可按区间观察第一笔10%，只做试仓；参考区间：30.65-30.87企稳可分批看第一笔,若跌破日内低点29.85或回踩后持续弱于昨收30.37，应降低仓位预期,Top3
上交所,沪市主板,600580,卧龙电驱,电机Ⅱ,浙江板块,"核能核电,长江三角,海洋经济,特斯拉概念,一带一路,工业互联,华为概念,新能源车,机器人概念,同步磁阻电机,飞行汽车(eVTOL),低空经济,人形机器人",40.96,1.19,27.55,3.29,4.33,1.17,57.96,5.88,9.00,行业电机Ⅱ均涨1.14%上涨率56%前排40%/4%；强概念工业互联均涨1.03%上涨率60%；主线9/15,79.71,成交额分层9/12；换手5/5；量比4/4；涨跌幅8/8；振幅质量近似5/5；日内位置1/8；尾盘近似3.71/20；历史风险22/22；空间盈亏比13/13；行业电机Ⅱ均涨1.14%上涨率56%前排40%/4%；强概念工业互联均涨1.03%上涨率60%；主线9/15,候选观察,流动性达标、振幅适中、换手率适中、涨幅未过热、量比健康、价格区间适合重仓隔夜；组合相关性降级(概念重叠:人形机器人/工业互联/机器人概念/特斯拉概念),40.63-40.89企稳可分批看第一笔,是,可按区间观察第一笔10%，只做试仓；参考区间：40.63-40.89企稳可分批看第一笔,若跌破日内低点40.25或回踩后持续弱于昨收40.48，应降低仓位预期,Top4
深交所,创业板,300458,全志科技,半导体,广东板块,"物联网,智能穿戴,阿里概念,虚拟现实,人工智能,无人驾驶,小米概念,百度概念,华为概念,超清视频,边缘计算,国产芯片,WiFi,半导体概念,车联网(车路云),中芯概念,汽车芯片,EDR概念,机器人概念,算力概念,消费电子概念,通信技术",36.72,1.58,12.66,3.85,4.36,0.83,44.79,11.53,11.00,行业半导体均涨0.77%上涨率57%前排32%/46%；强概念超清视频均涨1.34%上涨率67%；主线11/15,79.07,成交额分层5/12；换手5/5；量比1/4；涨跌幅8/8；振幅质量近似5/5；日内位置3/8；尾盘近似6.07/20；历史风险22/22；空间盈亏比13/13；行业半导体均涨0.77%上涨率57%前排32%/46%；强概念超清视频均涨1.34%上涨率67%；主线11/15,候选观察,成交额观察、振幅适中、换手率适中、涨幅未过热、价格区间适合重仓隔夜；组合相关性降级(概念重叠:人工智能/半导体概念/机器人概念),36.37-36.65企稳可分批看第一笔,是,可按区间观察第一笔10%，只做试仓；参考区间：36.37-36.65企稳可分批看第一笔,若跌破日内低点35.90或回踩后持续弱于昨收36.15，应降低仓位预期,Top5
上交所,沪市主板,600330,天通股份,电子化学品Ⅱ,浙江板块,"新材料,锂电池概念,LED概念,光伏概念,长江三角,特斯拉概念,蓝宝石,小金属概念,充电桩,5G概念,OLED,超清视频,PCB,国产芯片,新能源车,半导体概念,MicroLED,无线充电,商业航天,储能概念,CPO概念,光通信模块,消费电子概念,电池技术,通信技术",30.08,1.90,43.29,6.00,11.70,0.73,-221.66,4.78,13.00,行业电子化学品Ⅱ均涨3.02%上涨率73%前排52%/3%；强概念超清视频均涨1.34%上涨率67%；主线13/15,79.00,成交额分层12/12；换手1/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置3/8；尾盘近似5.36/20；历史风险22/22；空间盈亏比13/13；行业电子化学品Ⅱ均涨3.02%上涨率73%前排52%/3%；强概念超清视频均涨1.34%上涨率67%；主线13/15；执行条件不足封顶79,候选观察,成交额高、涨幅未过热、价格区间适合重仓隔夜；组合相关性降级(概念重叠:半导体概念/特斯拉概念),29.64-29.99企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：29.64-29.99企稳可分批看第一笔,换手已偏高，若重新跌破昨收29.52附近，短线波动可能加剧,Top6
上交所,沪市主板,603220,中贝通信,通信服务,湖北板块,"物联网,锂电池概念,一带一路,5G概念,6G概念,储能概念,激光雷达,F5G概念,CPO概念,算力概念,DeepSeek概念,电池技术,通信技术",32.03,2.83,20.33,3.69,14.69,1.18,-1508645.88,4.46,11.00,行业通信服务均涨2.90%上涨率85%前排35%/29%；强概念5G概念均涨1.45%上涨率66%；主线11/15,79.00,成交额分层9/12；换手1/5；量比4/4；涨跌幅5/8；振幅质量近似5/5；日内位置8/8；尾盘近似12.76/20；历史风险22/22；空间盈亏比5/13；行业通信服务均涨2.90%上涨率85%前排35%/29%；强概念5G概念均涨1.45%上涨率66%；主线11/15；执行条件不足封顶79,候选观察,流动性达标、振幅适中、涨幅未过热、量比健康、价格区间适合重仓隔夜,31.74-31.97企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：31.74-31.97企稳可分批看第一笔,换手已偏高，若重新跌破昨收31.15附近，短线波动可能加剧,Top7
上交所,沪市主板,603881,数据港,通信服务,上海板块,"互联网服务,云计算,大数据,央国企改革,阿里概念,百度概念,数据中心,国资云概念,东数西算,算力概念,液冷概念",41.52,2.49,29.06,4.79,9.86,0.71,166.53,8.86,13.00,行业通信服务均涨2.90%上涨率85%前排44%/18%；强概念国资云概念均涨1.04%上涨率67%；主线13/15,79.00,成交额分层9/12；换手1/5；量比1/4；涨跌幅5/8；振幅质量近似3/5；日内位置8/8；尾盘近似12.48/20；历史风险22/22；空间盈亏比8/13；行业通信服务均涨2.90%上涨率85%前排44%/18%；强概念国资云概念均涨1.04%上涨率67%；主线13/15；执行条件不足封顶79,候选观察,流动性达标、涨幅未过热、价格区间适合重仓隔夜,41.04-41.42企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：41.04-41.42企稳可分批看第一笔,换手已偏高，若重新跌破昨收40.51附近，短线波动可能加剧,Top8
深交所,深市主板,000063,中兴通讯,通信设备,广东板块,"深圳特区,物联网,云计算,智慧城市,智能穿戴,网络安全,在线教育,量子科技,5G概念,人工智能,工业互联,超清视频,边缘计算,国产芯片,无线耳机,IPv6,卫星互联网,数据中心,屏下摄像,无线充电,6G概念,信创,算力概念,液冷概念,AI手机,低空经济,消费电子概念,通信技术,光纤概念",37.51,2.18,50.00,5.61,3.33,0.93,34.23,2.34,13.00,行业通信设备均涨1.45%上涨率63%前排29%/12%；强概念超清视频均涨1.34%上涨率67%；主线13/15,79.00,成交额分层12/12；换手5/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置6/8；尾盘近似9.7/20；历史风险22/22；空间盈亏比8/13；行业通信设备均涨1.45%上涨率63%前排29%/12%；强概念超清视频均涨1.34%上涨率67%；主线13/15；执行条件不足封顶79,候选观察,成交额高、换手率适中、涨幅未过热、价格区间适合重仓隔夜,36.99-37.41企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：36.99-37.41企稳可分批看第一笔,若跌破日内低点36.02或回踩后持续弱于昨收36.71，应降低仓位预期,Top9
深交所,深市主板,002202,金风科技,风电设备,新疆板块,"新能源,西部大开发,风能,一带一路,氢能源,特高压,商业航天,储能概念,抽水蓄能,绿色电力",25.79,2.79,37.77,5.18,4.35,0.73,30.02,2.74,15.00,行业风电设备均涨1.03%上涨率60%前排20%/3%；强概念抽水蓄能均涨1.24%上涨率66%；主线15/15,79.00,成交额分层12/12；换手5/5；量比1/4；涨跌幅5/8；振幅质量近似1/5；日内位置3/8；尾盘近似5.66/20；历史风险22/22；空间盈亏比13/13；行业风电设备均涨1.03%上涨率60%前排20%/3%；强概念抽水蓄能均涨1.24%上涨率66%；主线15/15；执行条件不足封顶79,候选观察,成交额高、换手率适中、涨幅未过热、价格区间适合重仓隔夜,25.46-25.72企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：25.46-25.72企稳可分批看第一笔,若跌破日内低点25.00或回踩后持续弱于昨收25.09，应降低仓位预期,Top10
深交所,深市主板,002241,歌尔股份,消费电子,山东板块,"LED概念,智能穿戴,智能电视,苹果概念,智能家居,无人机,虚拟现实,增强现实,工业互联,小米概念,独角兽,华为概念,国产芯片,无线耳机,传感器,MicroLED,元宇宙概念,混合现实,AI眼镜,消费电子概念",25.81,1.89,34.16,6.20,4.27,1.07,45.54,2.45,13.00,行业消费电子均涨1.37%上涨率67%前排32%/13%；强概念AI眼镜均涨1.42%上涨率64%；主线13/15,79.00,成交额分层12/12；换手5/5；量比2/4；涨跌幅8/8；振幅质量近似1/5；日内位置8/8；尾盘近似12.26/20；历史风险22/22；空间盈亏比8/13；行业消费电子均涨1.37%上涨率67%前排32%/13%；强概念AI眼镜均涨1.42%上涨率64%；主线13/15；执行条件不足封顶79,备选,成交额高、换手率适中、涨幅未过热、量比健康、价格区间适合重仓隔夜,25.42-25.73企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：25.42-25.73企稳可分批看第一笔,若跌破日内低点24.59或回踩后持续弱于昨收25.33，应降低仓位预期,Top11
深交所,深市主板,002600,领益智造,消费电子,广东板块,"新材料,智能穿戴,苹果概念,5G概念,虚拟现实,人工智能,增强现实,小米概念,华为概念,无线耳机,新能源车,激光雷达,机器人概念,减速器,液冷概念,混合现实,柔性屏(折叠屏),AI手机,AIPC,AI眼镜,人形机器人,消费电子概念",17.07,0.77,67.78,5.90,5.55,1.17,79.63,5.14,13.00,行业消费电子均涨1.37%上涨率67%前排49%/6%；强概念5G概念均涨1.45%上涨率66%；主线13/15,79.00,成交额分层12/12；换手5/5；量比4/4；涨跌幅5/8；振幅质量近似1/5；日内位置3/8；尾盘近似5.53/20；历史风险22/22；空间盈亏比13/13；行业消费电子均涨1.37%上涨率67%前排49%/6%；强概念5G概念均涨1.45%上涨率66%；主线13/15；执行条件不足封顶79,备选,成交额高、换手率适中、涨幅未过热、量比健康、价格区间适合重仓隔夜,16.82-17.02企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：16.82-17.02企稳可分批看第一笔,若跌破日内低点16.43或回踩后持续弱于昨收16.94，应降低仓位预期,Top12
深交所,创业板,300115,长盈精密,消费电子,广东板块,"深圳特区,智能穿戴,特斯拉概念,苹果概念,燃料电池概念,5G概念,虚拟现实,小米概念,电子烟,国产芯片,无线耳机,新能源车,储能概念,机器人概念,减速器,柔性屏(折叠屏),AIPC,铜缆高速连接,AI眼镜,人形机器人,消费电子概念,电池技术,通信技术",38.75,1.71,39.53,5.12,7.62,1.24,105.31,6.21,13.00,行业消费电子均涨1.37%上涨率67%前排36%/9%；强概念5G概念均涨1.45%上涨率66%；主线13/15,79.00,成交额分层12/12；换手1/5；量比4/4；涨跌幅8/8；振幅质量近似1/5；日内位置8/8；尾盘近似12.58/20；历史风险22/22；空间盈亏比8/13；行业消费电子均涨1.37%上涨率67%前排36%/9%；强概念5G概念均涨1.45%上涨率66%；主线13/15；执行条件不足封顶79,备选,成交额高、涨幅未过热、量比健康、价格区间适合重仓隔夜,38.26-38.65企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：38.26-38.65企稳可分批看第一笔,若跌破日内低点37.20或回踩后持续弱于昨收38.10，应降低仓位预期,Top13
深交所,创业板,300131,英唐智控,其他电子Ⅱ,广东板块,"深圳特区,物联网,智能家居,阿里概念,5G概念,无人驾驶,小米概念,OLED,华为概念,纳米银,光刻机(胶),国产芯片,新能源车,半导体概念,车联网(车路云),第三代半导体,汽车芯片,碳化硅,激光雷达,CPO概念,ERP概念,存储芯片,AI眼镜,通信技术",21.75,1.02,29.88,10.64,13.63,0.80,1514.88,14.30,11.00,行业其他电子Ⅱ均涨1.05%上涨率58%前排45%/6%；强概念5G概念均涨1.45%上涨率66%；主线11/15,79.00,成交额分层9/12；换手1/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置8/8；尾盘近似12.11/20；历史风险22/22；空间盈亏比8/13；行业其他电子Ⅱ均涨1.05%上涨率58%前排45%/6%；强概念5G概念均涨1.45%上涨率66%；主线11/15；执行条件不足封顶79,备选,流动性达标、涨幅未过热、价格区间适合重仓隔夜,21.18-21.64企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：21.18-21.64企稳可分批看第一笔,换手已偏高，若重新跌破昨收21.53附近，短线波动可能加剧,Top14
深交所,创业板,300602,飞荣达,消费电子,广东板块,"深圳特区,光伏概念,石墨烯,苹果概念,充电桩,5G概念,华为概念,新能源车,储能概念,汽车热管理,麒麟电池,液冷概念,柔性屏(折叠屏),AIPC,荣耀概念,华为海思,人形机器人,电池技术,通信技术",38.79,2.56,12.07,6.85,7.95,1.16,72.94,5.44,13.00,行业消费电子均涨1.37%上涨率67%前排26%/26%；强概念5G概念均涨1.45%上涨率66%；主线13/15,79.00,成交额分层5/12；换手1/5；量比4/4；涨跌幅5/8；振幅质量近似1/5；日内位置8/8；尾盘近似12.23/20；历史风险22/22；空间盈亏比8/13；行业消费电子均涨1.37%上涨率67%前排26%/26%；强概念5G概念均涨1.45%上涨率66%；主线13/15；执行条件不足封顶79,备选,成交额观察、涨幅未过热、量比健康、价格区间适合重仓隔夜,38.14-38.66企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：38.14-38.66企稳可分批看第一笔,若跌破日内低点36.74或回踩后持续弱于昨收37.82，应降低仓位预期,Top15
深交所,深市主板,000034,神州数码,IT服务Ⅱ,广东板块,"深圳特区,物联网,云计算,网络安全,阿里概念,人工智能,无人驾驶,区块链,华为概念,边缘计算,数据中心,华为昇腾,数字经济,信创,ChatGPT概念,存储芯片,液冷概念,英伟达概念,华为海思,智谱AI概念,DeepSeek概念,腾讯云,AI应用",41.57,2.09,15.85,4.64,6.28,0.80,31.98,2.70,13.00,行业IT服务Ⅱ均涨1.41%上涨率65%前排31%/8%；强概念网络安全均涨1.62%上涨率72%；主线13/15,78.71,成交额分层5/12；换手3/5；量比1/4；涨跌幅8/8；振幅质量近似3/5；日内位置6/8；尾盘近似9.71/20；历史风险22/22；空间盈亏比8/13；行业IT服务Ⅱ均涨1.41%上涨率65%前排31%/8%；强概念网络安全均涨1.62%上涨率72%；主线13/15；执行条件不足封顶79,备选,成交额观察、换手率适中、涨幅未过热、价格区间适合重仓隔夜,41.10-41.48企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：41.10-41.48企稳可分批看第一笔,若跌破日内低点40.31或回踩后持续弱于昨收40.72，应降低仓位预期,Top16
上交所,沪市主板,600879,航天电子,航天装备Ⅱ,湖北板块,"航天航空,军工,北斗导航,央国企改革,无人机,量子科技,军民融合,国产芯片,传感器,特高压,卫星互联网,商业航天,空间站概念,低空经济",23.56,1.86,32.55,5.14,4.16,0.73,621.30,3.72,13.00,行业航天装备Ⅱ均涨1.48%上涨率89%前排33%/22%；强概念国产芯片均涨1.06%上涨率64%；主线13/15,78.60,成交额分层12/12；换手5/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置1/8；尾盘近似2.6/20；历史风险22/22；空间盈亏比13/13；行业航天装备Ⅱ均涨1.48%上涨率89%前排33%/22%；强概念国产芯片均涨1.06%上涨率64%；主线13/15；执行条件不足封顶79,备选,成交额高、换手率适中、涨幅未过热、价格区间适合重仓隔夜,23.26-23.50企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：23.26-23.50企稳可分批看第一笔,若跌破日内低点23.00或回踩后持续弱于昨收23.13，应降低仓位预期,Top17
上交所,沪市主板,600176,中国巨石,玻璃玻纤,浙江板块,"新材料,风能,央国企改革,一带一路,PCB,PEEK材料概念,DeepSeek概念",34.14,0.83,46.81,5.73,3.45,0.87,26.96,4.23,7.00,行业玻璃玻纤均涨0.24%上涨率47%前排40%/7%；强概念DeepSeek概念均涨1.18%上涨率62%；主线7/15,77.65,成交额分层12/12；换手5/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置3/8；尾盘近似5.65/20；历史风险22/22；空间盈亏比13/13；行业玻璃玻纤均涨0.24%上涨率47%前排40%/7%；强概念DeepSeek概念均涨1.18%上涨率62%；主线7/15；主线不足封顶79；执行条件不足封顶79,备选,成交额高、换手率适中、涨幅未过热、价格区间适合重仓隔夜,33.66-34.04企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：33.66-34.04企稳可分批看第一笔,若跌破日内低点32.88或回踩后持续弱于昨收33.86，应降低仓位预期,Top18
深交所,深市主板,000960,锡业股份,小金属,云南板块,"稀缺资源,西部大开发,央国企改革,小金属概念,化债(AMC)概念",37.70,3.23,22.72,7.53,3.73,0.79,17.88,3.05,9.00,行业小金属均涨0.70%上涨率58%前排17%/21%；强概念稀缺资源均涨0.53%上涨率50%；主线9/15,77.55,成交额分层9/12；换手5/5；量比1/4；涨跌幅2/8；振幅质量近似1/5；日内位置8/8；尾盘近似12.55/20；历史风险22/22；空间盈亏比8/13；行业小金属均涨0.70%上涨率58%前排17%/21%；强概念稀缺资源均涨0.53%上涨率50%；主线9/15；执行条件不足封顶79,备选,流动性达标、换手率适中、价格区间适合重仓隔夜,36.74-37.29回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：36.74-37.29回踩稳住再看，不追高,若跌破日内低点35.35或回踩后持续弱于昨收36.52，应降低仓位预期,Top19
