交易所,板块,代码,名称,行业,地域板块,概念题材,最新价,涨跌幅(%),成交额(亿元),振幅(%),换手率(%),量比,市盈率,市净率,主线评分,主线明细,评分,评分明细,优先级,入选理由,建议建仓位,是否适合今天建第一笔,建议动作,风险提示,排名
上交所,沪市主板,600673,东阳光,综合Ⅱ,广东板块,"新材料,成渝特区,锂电池概念,氟化工概念,华为概念,数据中心,储能概念,PVDF概念,东数西算,机器人概念,液冷概念,锂矿概念,人形机器人,电池技术",36.63,0.33,21.39,3.67,1.93,0.48,231.06,11.10,7.00,行业综合Ⅱ均涨-0.45%上涨率44%前排31%/6%；强概念数据中心均涨1.05%上涨率64%；主线7/15,67.04,成交额分层9/12；换手1/5；量比1/4；涨跌幅5/8；振幅质量近似5/5；日内位置1/8；尾盘近似3.04/20；历史风险22/22；空间盈亏比13/13；行业综合Ⅱ均涨-0.45%上涨率44%前排31%/6%；强概念数据中心均涨1.05%上涨率64%；主线7/15；主线不足封顶79,备选,流动性达标、振幅适中、涨幅未过热、价格区间适合重仓隔夜,36.30-36.56企稳可分批看第一笔,观察后决定,先观察承接与回收，再决定是否试10%；参考区间：36.30-36.56企稳可分批看第一笔,若跌破日内低点36.10或回踩后持续弱于昨收36.51，应降低仓位预期,Top63
上交所,科创板,688208,道通科技,计算机设备,广东板块,"深圳特区,充电桩,人工智能,无人驾驶,胎压监测,传感器,机器人概念,高压快充,DeepSeek概念",39.96,4.06,10.00,7.29,3.68,0.94,34.40,7.60,15.00,行业计算机设备均涨1.22%上涨率69%前排11%/14%；强概念DeepSeek概念均涨1.18%上涨率62%；主线15/15,66.68,成交额分层5/12；换手5/5；量比1/4；涨跌幅2/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.68/20；历史风险22/22；空间盈亏比13/13；行业计算机设备均涨1.22%上涨率69%前排11%/14%；强概念DeepSeek概念均涨1.18%上涨率62%；主线15/15；执行条件不足封顶79,备选,成交额观察、换手率适中、价格区间适合重仓隔夜,38.98-39.54回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：38.98-39.54回踩稳住再看，不追高,当日涨幅偏高，若跌破38.62附近承接且收不回，不宜追高接力,Top64
上交所,沪市主板,600188,兖矿能源,煤炭开采,山东板块,"煤化工概念,稀缺资源,参股期货,参股银行,央国企改革",22.04,4.21,16.22,5.96,1.26,1.40,13.98,2.89,9.00,行业煤炭开采均涨2.62%上涨率92%前排24%/8%；强概念稀缺资源均涨0.53%上涨率50%；主线9/15,66.46,成交额分层5/12；换手1/5；量比4/4；涨跌幅2/8；振幅质量近似1/5；日内位置8/8；尾盘近似13.46/20；历史风险22/22；空间盈亏比1/13；行业煤炭开采均涨2.62%上涨率92%前排24%/8%；强概念稀缺资源均涨0.53%上涨率50%；主线9/15；执行条件不足封顶79,备选,成交额观察、量比健康、价格区间适合重仓隔夜,21.60-21.85回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：21.60-21.85回踩稳住再看，不追高,当日涨幅偏高，若跌破20.81附近承接且收不回，不宜追高接力,Top65
深交所,创业板,300444,双杰电气,电网设备,北京板块,"智能电网,光伏概念,风能,充电桩,华为概念,新能源车,数据中心,虚拟电厂,换电概念,储能概念,机器人概念,高压快充,电网概念",16.22,1.38,10.37,6.44,10.22,0.54,11.50,6.30,13.00,行业电网设备均涨1.45%上涨率69%前排37%/15%；强概念智能电网均涨1.56%上涨率69%；主线13/15,66.20,成交额分层5/12；换手1/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.2/20；历史风险22/22；空间盈亏比13/13；行业电网设备均涨1.45%上涨率69%前排37%/15%；强概念智能电网均涨1.56%上涨率69%；主线13/15；执行条件不足封顶79,备选,成交额观察、涨幅未过热、价格区间适合重仓隔夜,15.96-16.17企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：15.96-16.17企稳可分批看第一笔,换手已偏高，若重新跌破昨收16.00附近，短线波动可能加剧,Top66
深交所,创业板,300065,海兰信,航海装备Ⅱ,北京板块,"军工,海工装备,海洋经济,大数据,京津冀,阿里概念,航母概念,船舶制造,人工智能,数据中心,商业航天,算力概念,数据要素,液冷概念,并购重组概念",25.16,4.92,24.97,4.92,14.93,1.35,2701.53,10.33,9.00,行业航海装备Ⅱ均涨-0.59%上涨率30%前排10%/20%；强概念数据中心均涨1.05%上涨率64%；主线9/15,66.04,成交额分层9/12；换手1/5；量比4/4；涨跌幅2/8；振幅质量近似3/5；日内位置1/8；尾盘近似2.04/20；历史风险22/22；空间盈亏比13/13；行业航海装备Ⅱ均涨-0.59%上涨率30%前排10%/20%；强概念数据中心均涨1.05%上涨率64%；主线9/15；执行条件不足封顶79,备选,流动性达标、量比健康、价格区间适合重仓隔夜,24.80-24.98回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：24.80-24.98回踩稳住再看，不追高,当日涨幅偏高，若跌破24.80附近承接且收不回，不宜追高接力,Top67
上交所,沪市主板,600406,国电南瑞,电网设备,江苏板块,"新能源,节能环保,核能核电,智能电网,光伏概念,央国企改革,充电桩,量子科技,一带一路,PPP模式,国产芯片,半导体概念,特高压,车联网(车路云),数据中心,虚拟电厂,换电概念,储能概念,抽水蓄能,IGBT概念,电网概念",26.49,0.04,21.46,1.89,1.01,0.40,73.74,3.98,13.00,行业电网设备均涨1.45%上涨率69%前排69%/6%；强概念国产芯片均涨1.06%上涨率64%；主线13/15,65.81,成交额分层9/12；换手1/5；量比1/4；涨跌幅2/8；振幅质量近似3/5；日内位置3/8；尾盘近似6.81/20；历史风险22/22；空间盈亏比5/13；行业电网设备均涨1.45%上涨率69%前排69%/6%；强概念国产芯片均涨1.06%上涨率64%；主线13/15,备选,流动性达标、振幅适中、价格区间适合重仓隔夜,26.36-26.46企稳可分批看第一笔,观察后决定,先观察承接与回收，再决定是否试10%；参考区间：26.36-26.46企稳可分批看第一笔,若跌破日内低点26.20或回踩后持续弱于昨收26.48，应降低仓位预期,Top68
深交所,创业板,300480,光力科技,专用设备,河南板块,"节能环保,物联网,华为概念,传感器,半导体概念,碳化硅,工业母机",39.38,1.23,11.69,7.38,11.01,0.84,115.60,8.33,7.00,行业专用设备均涨-0.05%上涨率44%前排27%/8%；强概念物联网均涨1.42%上涨率68%；主线7/15,65.79,成交额分层5/12；换手1/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置3/8；尾盘近似4.79/20；历史风险22/22；空间盈亏比13/13；行业专用设备均涨-0.05%上涨率44%前排27%/8%；强概念物联网均涨1.42%上涨率68%；主线7/15；主线不足封顶79；执行条件不足封顶79,备选,成交额观察、涨幅未过热、价格区间适合重仓隔夜,38.66-39.24企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：38.66-39.24企稳可分批看第一笔,换手已偏高，若重新跌破昨收38.90附近，短线波动可能加剧,Top69
深交所,深市主板,002922,伊戈尔,其他电子Ⅱ,广东板块,"光伏概念,充电桩,华为概念,新能源车,数据中心,被动元件概念,储能概念,高压快充",42.83,1.23,11.42,5.32,7.07,0.90,66.07,4.78,9.00,行业其他电子Ⅱ均涨1.05%上涨率58%前排39%/27%；强概念充电桩均涨1.20%上涨率66%；主线9/15,65.70,成交额分层5/12；换手3/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置1/8；尾盘近似2.7/20；历史风险22/22；空间盈亏比13/13；行业其他电子Ⅱ均涨1.05%上涨率58%前排39%/27%；强概念充电桩均涨1.20%上涨率66%；主线9/15；执行条件不足封顶79,备选,成交额观察、换手率适中、涨幅未过热、价格区间适合重仓隔夜,42.27-42.72企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：42.27-42.72企稳可分批看第一笔,若跌破日内低点41.68或回踩后持续弱于昨收42.31，应降低仓位预期,Top70
深交所,深市主板,002361,神剑股份,塑料,安徽板块,"军工,北斗导航,央国企改革,军民融合,商业航天,磁悬浮概念,机器人概念,低空经济,碳纤维",18.91,0.00,30.58,7.62,19.94,0.74,-853.47,8.21,5.00,行业塑料均涨0.18%上涨率46%前排51%/1%；强概念商业航天均涨0.80%上涨率56%；主线5/15,64.57,成交额分层12/12；换手1/5；量比1/4；涨跌幅2/8；振幅质量近似1/5；日内位置3/8；尾盘近似4.57/20；历史风险22/22；空间盈亏比13/13；行业塑料均涨0.18%上涨率46%前排51%/1%；强概念商业航天均涨0.80%上涨率56%；主线5/15；主线不足封顶79；执行条件不足封顶79,备选,成交额高、价格区间适合重仓隔夜,18.55-18.84企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：18.55-18.84企稳可分批看第一笔,换手已偏高，若重新跌破昨收18.91附近，短线波动可能加剧,Top71
上交所,沪市主板,603698,航天工程,专用设备,北京板块,"煤化工概念,节能环保,央国企改革,军民融合,氢能源,碳交易,工业气体",39.80,2.74,10.75,9.37,4.97,0.85,130.19,6.06,9.00,行业专用设备均涨-0.05%上涨率44%前排13%/8%；强概念碳交易均涨1.03%上涨率63%；主线9/15,63.20,成交额分层5/12；换手5/5；量比1/4；涨跌幅5/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.2/20；历史风险22/22；空间盈亏比13/13；行业专用设备均涨-0.05%上涨率44%前排13%/8%；强概念碳交易均涨1.03%上涨率63%；主线9/15；执行条件不足封顶79,备选,成交额观察、换手率适中、涨幅未过热、价格区间适合重仓隔夜,38.89-39.62企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：38.89-39.62企稳可分批看第一笔,若跌破日内低点38.20或回踩后持续弱于昨收38.74，应降低仓位预期,Top72
上交所,科创板,688102,斯瑞新材,金属新材料,陕西板块,"新材料,西部大开发,充电桩,商业航天,CPO概念,可控核聚变,通信技术",43.08,3.14,11.71,8.67,3.45,0.96,194.41,17.15,9.00,行业金属新材料均涨1.75%上涨率48%前排18%/12%；强概念通信技术均涨1.40%上涨率66%；主线9/15,63.20,成交额分层5/12；换手5/5；量比1/4；涨跌幅5/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.2/20；历史风险22/22；空间盈亏比13/13；行业金属新材料均涨1.75%上涨率48%前排18%/12%；强概念通信技术均涨1.40%上涨率66%；主线9/15；执行条件不足封顶79,备选,成交额观察、换手率适中、涨幅未过热、价格区间适合重仓隔夜,41.81-42.54回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：41.81-42.54回踩稳住再看，不追高,若跌破日内低点41.66或回踩后持续弱于昨收41.77，应降低仓位预期,Top73
上交所,沪市主板,600938,中国海油,油气开采Ⅱ,,"新能源,风能,油气设服,央国企改革,天然气,绿色电力,油气资源",36.90,1.07,17.15,1.84,1.55,1.18,11.20,2.10,7.00,行业油气开采Ⅱ均涨1.49%上涨率67%前排67%/33%；强概念油气设服均涨1.26%上涨率65%；主线7/15,63.00,成交额分层5/12；换手1/5；量比4/4；涨跌幅8/8；振幅质量近似3/5；日内位置1/8；尾盘近似4.0/20；历史风险22/22；空间盈亏比8/13；行业油气开采Ⅱ均涨1.49%上涨率67%前排67%/33%；强概念油气设服均涨1.26%上涨率65%；主线7/15；主线不足封顶79,备选,成交额观察、振幅适中、涨幅未过热、量比健康、价格区间适合重仓隔夜,36.73-36.87企稳可分批看第一笔,观察后决定,先观察承接与回收，再决定是否试10%；参考区间：36.73-36.87企稳可分批看第一笔,若跌破日内低点36.68或回踩后持续弱于昨收36.51，应降低仓位预期,Top74
上交所,沪市主板,600999,招商证券,证券Ⅱ,广东板块,"深圳特区,互联网金融,央国企改革,券商概念,蚂蚁概念,科创板做市商",16.18,2.47,15.51,2.79,1.29,1.93,10.76,1.13,5.00,行业证券Ⅱ均涨-0.19%上涨率24%前排4%/8%；强概念深圳特区均涨0.81%上涨率53%；主线5/15,61.50,成交额分层5/12；换手1/5；量比1/4；涨跌幅5/8；振幅质量近似5/5；日内位置1/8；尾盘近似3.5/20；历史风险22/22；空间盈亏比13/13；行业证券Ⅱ均涨-0.19%上涨率24%前排4%/8%；强概念深圳特区均涨0.81%上涨率53%；主线5/15；主线不足封顶79,备选,成交额观察、振幅适中、涨幅未过热、价格区间适合重仓隔夜,16.07-16.16企稳可分批看第一笔,观察后决定,先观察承接与回收，再决定是否试10%；参考区间：16.07-16.16企稳可分批看第一笔,若跌破日内低点16.02或回踩后持续弱于昨收15.79，应降低仓位预期,Top75
深交所,深市主板,002407,多氟多,化学制品,河南板块,"创投,化工原料,新材料,锂电池概念,特斯拉概念,氟化工概念,独角兽,新能源车,半导体概念,固态电池,钠离子电池,储能概念,PVDF概念,电池技术",37.79,3.62,110.22,6.83,26.86,2.47,29.95,5.27,7.00,行业化学制品均涨-0.35%上涨率37%前排9%/1%；强概念特斯拉概念均涨0.80%上涨率56%；主线7/15,61.20,成交额分层12/12；换手1/5；量比1/4；涨跌幅2/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.2/20；历史风险22/22；空间盈亏比13/13；行业化学制品均涨-0.35%上涨率37%前排9%/1%；强概念特斯拉概念均涨0.80%上涨率56%；主线7/15；主线不足封顶79；执行条件不足封顶79,备选,成交额高、价格区间适合重仓隔夜,37.22-37.42回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：37.22-37.42回踩稳住再看，不追高,换手已偏高，若重新跌破昨收36.47附近，短线波动可能加剧,Top76
深交所,创业板,300059,东方财富,证券Ⅱ,上海板块,"互联网服务,参股期货,长江三角,大数据,互联网金融,国产软件,券商概念,人工智能,区块链,网红经济,鸿蒙概念,AIGC概念,数据要素,虚拟机器人,AI应用",19.77,0.20,43.81,2.28,1.66,0.52,20.90,3.32,7.00,行业证券Ⅱ均涨-0.19%上涨率24%前排20%/2%；强概念互联网服务均涨1.37%上涨率69%；主线7/15,61.00,成交额分层12/12；换手1/5；量比1/4；涨跌幅2/8；振幅质量近似3/5；日内位置1/8；尾盘近似4.0/20；历史风险22/22；空间盈亏比8/13；行业证券Ⅱ均涨-0.19%上涨率24%前排20%/2%；强概念互联网服务均涨1.37%上涨率69%；主线7/15；主线不足封顶79,备选,成交额高、振幅适中、价格区间适合重仓隔夜,19.66-19.75企稳可分批看第一笔,观察后决定,先观察承接与回收，再决定是否试10%；参考区间：19.66-19.75企稳可分批看第一笔,若跌破日内低点19.56或回踩后持续弱于昨收19.73，应降低仓位预期,Top77
上交所,沪市主板,600367,红星发展,化学原料,贵州板块,"稀缺资源,锂电池概念,西部大开发,央国企改革,小金属概念,固态电池,玻璃基板,电池技术",25.89,3.77,10.47,8.42,12.62,1.06,77.07,3.55,7.00,行业化学原料均涨-0.92%上涨率27%前排7%/9%；强概念玻璃基板均涨0.88%上涨率65%；主线7/15,60.64,成交额分层5/12；换手1/5；量比2/4；涨跌幅2/8；振幅质量近似1/5；日内位置3/8；尾盘近似4.64/20；历史风险22/22；空间盈亏比13/13；行业化学原料均涨-0.92%上涨率27%前排7%/9%；强概念玻璃基板均涨0.88%上涨率65%；主线7/15；主线不足封顶79；执行条件不足封顶79,备选,成交额观察、量比健康、价格区间适合重仓隔夜,25.16-25.57回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：25.16-25.57回踩稳住再看，不追高,换手已偏高，若重新跌破昨收24.95附近，短线波动可能加剧,Top78
上交所,沪市主板,600343,航天动力,通用设备,陕西板块,"军工,西部大开发,水利建设,央国企改革,军民融合,氢能源",35.40,0.37,11.08,4.42,4.88,0.48,-254.04,17.74,3.00,行业通用设备均涨0.02%上涨率46%前排39%/10%；强概念水利建设均涨0.59%上涨率50%；主线3/15,60.48,成交额分层5/12；换手5/5；量比1/4；涨跌幅5/8；振幅质量近似3/5；日内位置1/8；尾盘近似2.48/20；历史风险22/22；空间盈亏比13/13；行业通用设备均涨0.02%上涨率46%前排39%/10%；强概念水利建设均涨0.59%上涨率50%；主线3/15；主线不足封顶79,备选,成交额观察、振幅适中、换手率适中、涨幅未过热、价格区间适合重仓隔夜,35.01-35.32企稳可分批看第一笔,是,可按区间观察第一笔10%，只做试仓；参考区间：35.01-35.32企稳可分批看第一笔,若跌破日内低点34.83或回踩后持续弱于昨收35.27，应降低仓位预期,Top79
上交所,沪市主板,600206,有研新材,半导体,北京板块,"新能源,新材料,稀土永磁,3D打印,医疗器械概念,央国企改革,小金属概念,5G概念,OLED,华为概念,国产芯片,传感器,半导体概念,尾气治理,中芯概念,存储芯片,通信技术",30.62,0.13,24.23,5.26,9.19,0.70,73.41,5.97,9.00,行业半导体均涨0.77%上涨率57%前排56%/28%；强概念OLED均涨1.46%上涨率62%；主线9/15,60.46,成交额分层9/12；换手1/5；量比1/4；涨跌幅2/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.46/20；历史风险22/22；空间盈亏比13/13；行业半导体均涨0.77%上涨率57%前排56%/28%；强概念OLED均涨1.46%上涨率62%；主线9/15；执行条件不足封顶79,备选,流动性达标、价格区间适合重仓隔夜,30.22-30.54企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：30.22-30.54企稳可分批看第一笔,换手已偏高，若重新跌破昨收30.58附近，短线波动可能加剧,Top80
上交所,沪市主板,600353,旭光电子,其他电子Ⅱ,四川板块,"军工,新材料,成渝特区,西部大开发,铁路基建,无人机,5G概念,军民融合,华为概念,光刻机(胶),国产芯片,第三代半导体,可控核聚变,DeepSeek概念,通信技术",21.12,0.14,12.71,5.64,7.18,0.72,131.13,9.05,11.00,行业其他电子Ⅱ均涨1.05%上涨率58%前排55%/21%；强概念5G概念均涨1.45%上涨率66%；主线11/15,60.20,成交额分层5/12；换手3/5；量比1/4；涨跌幅2/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.2/20；历史风险22/22；空间盈亏比13/13；行业其他电子Ⅱ均涨1.05%上涨率58%前排55%/21%；强概念5G概念均涨1.45%上涨率66%；主线11/15；执行条件不足封顶79,备选,成交额观察、换手率适中、价格区间适合重仓隔夜,20.89-21.06企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：20.89-21.06企稳可分批看第一笔,若跌破日内低点20.89或回踩后持续弱于昨收21.09，应降低仓位预期,Top81
上交所,沪市主板,600338,西藏珠峰,工业金属,西藏板块,"参股券商,锂电池概念,西部大开发,小金属概念,一带一路,锂矿概念,电池技术",21.23,0.00,13.39,6.12,6.90,0.80,26.98,4.30,2.00,行业工业金属均涨-0.44%上涨率37%前排39%/25%；主线2/15,56.99,成交额分层5/12；换手3/5；量比1/4；涨跌幅2/8；振幅质量近似1/5；日内位置3/8；尾盘近似4.99/20；历史风险22/22；空间盈亏比13/13；行业工业金属均涨-0.44%上涨率37%前排39%/25%；主线2/15；主线不足封顶79；执行条件不足封顶79,备选,成交额观察、换手率适中、价格区间适合重仓隔夜,20.91-21.16企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：20.91-21.16企稳可分批看第一笔,若跌破日内低点20.50或回踩后持续弱于昨收21.23，应降低仓位预期,Top82
深交所,深市主板,002317,众生药业,中药Ⅱ,广东板块,"中药概念,养老概念,病毒防治,维生素,流感,长寿药,辅助生殖,幽门螺杆菌概念,肝炎概念,创新药,减肥药,病原体防治",22.47,4.71,15.26,8.01,8.96,0.69,47.83,4.59,4.00,行业中药Ⅱ均涨-0.90%上涨率20%前排3%/2%；主线4/15,56.79,成交额分层5/12；换手1/5；量比1/4；涨跌幅2/8；振幅质量近似1/5；日内位置3/8；尾盘近似4.79/20；历史风险22/22；空间盈亏比13/13；行业中药Ⅱ均涨-0.90%上涨率20%前排3%/2%；主线4/15；主线不足封顶79；执行条件不足封顶79,备选,成交额观察、价格区间适合重仓隔夜,21.87-22.21回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：21.87-22.21回踩稳住再看，不追高,当日涨幅偏高，若跌破21.40附近承接且收不回，不宜追高接力,Top83
上交所,沪市主板,603278,大业股份,通用设备,山东板块,"新能源,光伏概念,风能",17.07,0.65,19.02,11.20,32.02,1.20,-59.39,3.01,3.00,行业通用设备均涨0.02%上涨率46%前排35%/5%；强概念新能源均涨0.34%上涨率52%；主线3/15,56.20,成交额分层5/12；换手1/5；量比4/4；涨跌幅5/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.2/20；历史风险22/22；空间盈亏比13/13；行业通用设备均涨0.02%上涨率46%前排35%/5%；强概念新能源均涨0.34%上涨率52%；主线3/15；主线不足封顶79；执行条件不足封顶79,备选,成交额观察、涨幅未过热、量比健康、价格区间适合重仓隔夜,16.59-16.98企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：16.59-16.98企稳可分批看第一笔,换手已偏高，若重新跌破昨收16.96附近，短线波动可能加剧,Top84
上交所,沪市主板,600078,澄星股份,农化制品,江苏板块,"化工原料,长江三角,磷化工",16.22,4.85,10.31,7.30,9.59,0.88,99.50,6.44,4.00,行业农化制品均涨-1.17%上涨率21%前排4%/9%；主线4/15,51.29,成交额分层5/12；换手1/5；量比1/4；涨跌幅2/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.29/20；历史风险22/22；空间盈亏比13/13；行业农化制品均涨-1.17%上涨率21%前排4%/9%；主线4/15；主线不足封顶79；执行条件不足封顶79,备选,成交额观察、价格区间适合重仓隔夜,15.82-16.05回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：15.82-16.05回踩稳住再看，不追高,当日涨幅偏高，若跌破15.75附近承接且收不回，不宜追高接力,Top85
上交所,沪市主板,601211,国泰海通,证券Ⅱ,上海板块,"长江三角,互联网金融,券商概念,科创板做市商,并购重组概念",15.45,0.06,14.65,0.91,0.70,0.61,10.66,0.83,3.00,行业证券Ⅱ均涨-0.19%上涨率24%前排24%/10%；强概念并购重组概念均涨0.56%上涨率51%；主线3/15,46.21,成交额分层5/12；换手1/5；量比1/4；涨跌幅2/8；振幅质量近似1/5；日内位置3/8；尾盘近似7.21/20；历史风险22/22；空间盈亏比1/13；行业证券Ⅱ均涨-0.19%上涨率24%前排24%/10%；强概念并购重组概念均涨0.56%上涨率51%；主线3/15；主线不足封顶79,备选,成交额观察、价格区间适合重仓隔夜,15.41-15.44企稳可分批看第一笔,观察后决定,先观察承接与回收，再决定是否试10%；参考区间：15.41-15.44企稳可分批看第一笔,若跌破日内低点15.37或回踩后持续弱于昨收15.44，应降低仓位预期,Top86
