锚点日期,训练日期数,模型实际训练日期数,稳定特征数,稳定特征Top10,预测上涨概率,预测未来5日上涨比例,融合预测上涨比例,预测市场方向,预测市场状态,实际未来5日上涨比例,实际市场方向,实际市场状态,市场方向预测是否准确
2026-03-16,217,73,30,沪深300_5日涨跌幅_均值_近3日标准差|沪深300_5日涨跌幅_均值_近5日标准差|中证1000_5日涨跌幅_均值_近3日标准差|当日涨跌幅极差|当日平均涨跌幅_近20日最高|中证1000_5日涨跌幅_均值_近5日标准差|当日上涨比例_近20日最高|中证500_5日涨跌幅_均值_近3日标准差|中证500_5日涨跌幅_均值_近5日标准差|当日大涨比例_3pct_近10日均值,78.87%,59.40%,68.16%,上涨,普涨,7.11%,下跌,强下跌,0
2026-03-19,220,74,30,当日上涨比例_近20日最高|当日涨跌幅极差|沪深300_5日涨跌幅_均值_近3日标准差|当日平均涨跌幅_近20日最高|当日大涨比例_3pct_近5日均值|当日大涨比例_3pct_近10日均值|沪深300_5日涨跌幅_均值_近5日标准差|中证1000强于沪深300_5日_近3日斜率|当日大涨比例_3pct_近3日均值|当日平均换手率_近5日标准差,93.06%,73.16%,82.11%,上涨,强上涨,17.26%,下跌,强下跌,0
2026-03-24,223,74,30,当日上涨比例_近20日最高|当日涨跌幅极差|当日平均涨跌幅_近20日最高|当日平均换手率_近5日标准差|沪深300_5日涨跌幅_均值_近3日标准差|当日大涨比例_3pct_近10日均值|当日大涨比例_3pct_近5日均值|当日平均成交额_近10日均值|当日平均振幅_近10日均值|沪深300_5日涨跌幅_均值_近10日均值,36.72%,23.20%,29.28%,下跌,强下跌,53.98%,上涨,震荡,0
2026-03-27,226,75,30,当日上涨比例_近20日最高|当日平均涨跌幅_近20日最高|当日平均换手率_近5日标准差|当日涨跌幅极差|当日平均涨跌幅_近10日最高|股票数量|沪深300_5日涨跌幅_均值_近3日标准差|沪深300_5日涨跌幅_均值_近10日均值|小盘强于中盘_5日_近10日均值|当日平均振幅_近10日均值,57.06%,22.62%,38.12%,下跌,普跌,28.32%,下跌,强下跌,1
2026-04-01,229,73,30,当日涨跌幅极差|当日平均换手率_近5日标准差|当日上涨比例_近20日最高|沪深300_5日涨跌幅_均值_近3日标准差|当日平均涨跌幅_近20日最高|小盘强于中盘_5日_近5日标准差|沪深300_5日涨跌幅_均值_近5日标准差|小盘强于中盘_5日|当日接近跌停比例|个股强于中证500_5日相对强弱_均值,12.47%,19.55%,16.36%,下跌,强下跌,53.30%,上涨,震荡,0
2026-04-07,232,73,30,当日涨跌幅极差|当日平均换手率_近5日标准差|当日上涨比例_近20日最高|小盘强于中盘_5日_近5日标准差|沪深300_5日涨跌幅_均值_近3日标准差|当日平均涨跌幅_近20日最高|股票数量|当日接近跌停比例|沪深300_5日涨跌幅_均值_近10日均值|小盘强于中盘_5日_近10日均值,0.45%,3.86%,2.33%,下跌,强下跌,83.26%,上涨,强上涨,0
2026-04-10,235,73,30,当日涨跌幅极差|沪深300_5日涨跌幅_均值_近3日标准差|小盘强于中盘_5日_近5日标准差|当日平均换手率_近5日标准差|沪深300_5日涨跌幅_均值_近5日标准差|当日接近跌停比例|小盘强于中盘_5日|小盘强于中盘_5日_近10日均值|当日平均成交额_近10日均值|当日上涨比例_近20日最高,28.71%,33.49%,31.34%,下跌,普跌,72.69%,上涨,强上涨,0
2026-04-15,238,76,30,当日涨跌幅极差|沪深300_5日涨跌幅_均值_近3日标准差|当日平均换手率_近5日标准差|小盘强于中盘_5日_近5日标准差|沪深300_5日涨跌幅_均值_近5日标准差|当日接近跌停比例|当日平均成交额_近10日均值|中证1000强于沪深300_5日_近3日斜率|当日平均换手率_近3日标准差|当日平均成交额,55.24%,88.07%,73.29%,上涨,强上涨,73.13%,上涨,强上涨,1
2026-04-20,241,76,30,沪深300_5日涨跌幅_均值_近3日标准差|沪深300_5日涨跌幅_均值_近5日标准差|当日平均换手率_近5日标准差|当日涨跌幅极差|当日强涨比例_5pct_近10日标准差|当日平均成交额_近10日均值|中证1000_5日涨跌幅_均值_近3日标准差|volatility_5_均值|小盘强于中盘_5日_近10日标准差|中证500_5日涨跌幅_均值_近5日标准差,89.34%,68.16%,77.69%,上涨,强上涨,39.04%,下跌,普跌,0
2026-04-24,243,74,30,沪深300_5日涨跌幅_均值_近3日标准差|沪深300_5日涨跌幅_均值_近5日标准差|当日强涨比例_5pct_近10日标准差|小盘强于中盘_5日_近10日标准差|当日涨跌幅极差|当日平均成交额_近10日均值|当日平均换手率_近5日标准差|中证1000_5日涨跌幅_均值_近3日标准差|volatility_5_均值|中证500_5日涨跌幅_均值_近5日标准差,25.63%,43.67%,35.55%,下跌,普跌,64.04%,上涨,普涨,0
2026-04-27,244,77,30,沪深300_5日涨跌幅_均值_近3日标准差|沪深300_5日涨跌幅_均值_近5日标准差|当日强涨比例_5pct_近10日标准差|小盘强于中盘_5日_近10日标准差|当日平均成交额_近10日均值|当日涨跌幅极差|当日平均换手率_近5日标准差|中证1000_5日涨跌幅_均值_近3日标准差|中证500_5日涨跌幅_均值_近5日标准差|volatility_5_均值,11.40%,32.65%,23.09%,下跌,强下跌,69.74%,上涨,普涨,0
2026-04-28,245,77,30,沪深300_5日涨跌幅_均值_近3日标准差|沪深300_5日涨跌幅_均值_近5日标准差|当日平均成交额_近10日均值|小盘强于中盘_5日_近10日标准差|当日强涨比例_5pct_近10日标准差|中证1000_5日涨跌幅_均值_近3日标准差|当日涨跌幅极差|中证500_5日涨跌幅_均值_近5日标准差|当日平均成交量_近10日均值|中证500_5日涨跌幅_均值_近3日标准差,13.49%,31.12%,23.19%,下跌,强下跌,81.94%,上涨,强上涨,0
2026-04-29,246,74,30,沪深300_5日涨跌幅_均值_近3日标准差|沪深300_5日涨跌幅_均值_近5日标准差|当日平均成交额_近10日均值|小盘强于中盘_5日_近10日标准差|中证1000_5日涨跌幅_均值_近3日标准差|当日强涨比例_5pct_近10日标准差|当日平均成交量_近10日均值|当日涨跌幅极差|中证500_5日涨跌幅_均值_近3日标准差|中证500_5日涨跌幅_均值_近5日标准差,1.62%,13.48%,8.14%,下跌,强下跌,78.51%,上涨,强上涨,0
2026-04-30,248,74,30,沪深300_5日涨跌幅_均值_近3日标准差|沪深300_5日涨跌幅_均值_近5日标准差|当日平均成交额_近10日均值|当日平均成交量_近10日均值|中证1000_5日涨跌幅_均值_近3日标准差|当日强涨比例_5pct_近10日标准差|中证500_5日涨跌幅_均值_近5日标准差|中证500_5日涨跌幅_均值_近3日标准差|当日平均成交额|小盘强于中盘_5日_近10日标准差,4.97%,23.35%,15.08%,下跌,强下跌,69.30%,上涨,普涨,0
2026-05-06,249,73,30,沪深300_5日涨跌幅_均值_近3日标准差|沪深300_5日涨跌幅_均值_近5日标准差|当日平均成交额_近10日均值|当日平均成交量_近10日均值|中证1000_5日涨跌幅_均值_近3日标准差|当日强涨比例_5pct_近10日标准差|当日平均成交额|当日平均成交额_近5日均值|中证500_5日涨跌幅_均值_近3日标准差|中证500_5日涨跌幅_均值_近5日标准差,8.85%,15.94%,12.75%,下跌,强下跌,67.98%,上涨,普涨,0
2026-05-07,250,74,30,沪深300_5日涨跌幅_均值_近3日标准差|当日平均成交额_近10日均值|沪深300_5日涨跌幅_均值_近5日标准差|当日平均成交量_近10日均值|中证1000_5日涨跌幅_均值_近3日标准差|当日强涨比例_5pct_近10日标准差|小盘强于中盘_5日_近10日标准差|中证500_5日涨跌幅_均值_近3日标准差|当日平均成交额|当日平均成交额_近5日均值,16.29%,21.42%,19.11%,下跌,强下跌,11.40%,下跌,强下跌,1
