修正原因,锚点年份,实际市场状态,日期数,股票预测数,噪声样本数,发生修正数,原始正确数,修正后正确数,修正净增正确数,原始错判为上涨数,修正后错判为上涨数,原始错判为下跌数,修正后错判为下跌数,平均预测上涨概率,平均实际5日涨跌幅,降噪后股票预测数,降噪后发生修正数,降噪后原始正确数,降噪后修正后正确数,降噪后修正净增正确数,原始准确率,修正后准确率,准确率变化百分点,降噪后原始准确率,降噪后修正后准确率,降噪后准确率变化百分点,修正覆盖率,降噪后修正覆盖率
上升趋势中恐慌洗盘，原始下跌改上涨,2026,强上涨,1,179,30,179,36,143,107,0,36,143,0,22.03%,5.24%,149,149,20,129,109,20.11%,79.89%,59.78,13.42%,86.58%,73.15,100.00%,100.00%
不修正,2025,强上涨,2,272,98,0,215,215,0,57,57,0,0,55.65%,3.52%,174,0,151,151,0,79.04%,79.04%,0.0,86.78%,86.78%,0.0,0.00%,0.00%
不修正,2025,强下跌,1,2,0,0,2,2,0,0,0,0,0,77.67%,8.06%,2,0,2,2,0,100.00%,100.00%,0.0,100.00%,100.00%,0.0,0.00%,0.00%
不修正,2025,普涨,1,161,67,0,96,96,0,65,65,0,0,52.95%,1.98%,94,0,62,62,0,59.63%,59.63%,0.0,65.96%,65.96%,0.0,0.00%,0.00%
不修正,2025,普跌,2,105,56,0,52,52,0,53,53,0,0,46.03%,-0.01%,49,0,24,24,0,49.52%,49.52%,0.0,48.98%,48.98%,0.0,0.00%,0.00%
不修正,2025,震荡,2,298,135,0,159,159,0,139,139,0,0,57.65%,1.20%,163,0,96,96,0,53.36%,53.36%,0.0,58.90%,58.90%,0.0,0.00%,0.00%
不修正,2026,强上涨,7,1412,357,0,1121,1121,0,291,291,0,0,49.66%,4.62%,1055,0,899,899,0,79.39%,79.39%,0.0,85.21%,85.21%,0.0,0.00%,0.00%
不修正,2026,强下跌,3,35,8,0,18,18,0,17,17,0,0,60.54%,2.29%,27,0,14,14,0,51.43%,51.43%,0.0,51.85%,51.85%,0.0,0.00%,0.00%
不修正,2026,普涨,6,1117,355,0,773,773,0,344,344,0,0,49.65%,3.52%,762,0,576,576,0,69.20%,69.20%,0.0,75.59%,75.59%,0.0,0.00%,0.00%
不修正,2026,普跌,1,69,22,0,45,45,0,24,24,0,0,56.42%,4.04%,47,0,35,35,0,65.22%,65.22%,0.0,74.47%,74.47%,0.0,0.00%,0.00%
不修正,2026,震荡,3,684,276,0,403,403,0,281,281,0,0,54.69%,1.70%,408,0,263,263,0,58.92%,58.92%,0.0,64.46%,64.46%,0.0,0.00%,0.00%
原始预测下跌，不修正,2025,强上涨,2,17,6,0,9,9,0,0,0,8,8,26.05%,0.91%,11,0,5,5,0,52.94%,52.94%,0.0,45.45%,45.45%,0.0,0.00%,0.00%
原始预测下跌，不修正,2025,强下跌,2,35,3,0,29,29,0,0,0,6,6,29.15%,-3.48%,32,0,26,26,0,82.86%,82.86%,0.0,81.25%,81.25%,0.0,0.00%,0.00%
原始预测下跌，不修正,2025,普涨,1,14,3,0,10,10,0,0,0,4,4,25.38%,-1.69%,11,0,7,7,0,71.43%,71.43%,0.0,63.64%,63.64%,0.0,0.00%,0.00%
原始预测下跌，不修正,2025,普跌,3,150,47,0,97,97,0,0,0,53,53,28.41%,-1.67%,103,0,72,72,0,64.67%,64.67%,0.0,69.90%,69.90%,0.0,0.00%,0.00%
原始预测下跌，不修正,2025,震荡,2,13,3,0,9,9,0,0,0,4,4,25.24%,-2.44%,10,0,8,8,0,69.23%,69.23%,0.0,80.00%,80.00%,0.0,0.00%,0.00%
原始预测下跌，不修正,2026,强上涨,5,77,24,0,32,32,0,0,0,45,45,28.36%,0.94%,53,0,23,23,0,41.56%,41.56%,0.0,43.40%,43.40%,0.0,0.00%,0.00%
原始预测下跌，不修正,2026,强下跌,5,171,28,0,146,146,0,0,0,25,25,27.44%,-5.94%,143,0,130,130,0,85.38%,85.38%,0.0,90.91%,90.91%,0.0,0.00%,0.00%
原始预测下跌，不修正,2026,普涨,5,181,63,0,96,96,0,0,0,85,85,24.45%,-0.29%,118,0,64,64,0,53.04%,53.04%,0.0,54.24%,54.24%,0.0,0.00%,0.00%
原始预测下跌，不修正,2026,普跌,1,12,3,0,11,11,0,0,0,1,1,28.55%,-7.13%,9,0,9,9,0,91.67%,91.67%,0.0,100.00%,100.00%,0.0,0.00%,0.00%
原始预测下跌，不修正,2026,震荡,2,120,56,0,68,68,0,0,0,52,52,27.49%,-0.60%,64,0,40,40,0,56.67%,56.67%,0.0,62.50%,62.50%,0.0,0.00%,0.00%
常规环境但弱趋势强反弹，原始上涨改下跌,2026,强下跌,1,226,65,226,64,162,98,162,0,0,64,56.31%,-1.78%,161,161,38,123,85,28.32%,71.68%,43.36,23.60%,76.40%,52.8,100.00%,100.00%
常规环境但短线破位，原始上涨改下跌,2026,强下跌,1,208,6,208,15,193,178,193,0,0,15,47.93%,-9.66%,202,202,10,192,182,7.21%,92.79%,85.58,4.95%,95.05%,90.1,100.00%,100.00%
常规环境但高位上涨乏力，原始上涨改下跌,2026,普跌,1,147,39,147,43,104,61,104,0,0,43,43.45%,-2.17%,108,108,28,80,52,29.25%,70.75%,41.5,25.93%,74.07%,48.15,100.00%,100.00%
平稳高位横盘，原始下跌改上涨,2025,震荡,1,115,50,115,63,52,-11,0,63,52,0,49.68%,1.61%,65,65,29,36,7,54.78%,45.22%,-9.57,44.62%,55.38%,10.77,100.00%,100.00%
弱势反弹但个股弱于行业，原始上涨改下跌,2026,震荡,1,102,26,102,34,68,34,68,0,0,34,51.01%,-1.49%,76,76,22,54,32,33.33%,66.67%,33.33,28.95%,71.05%,42.11,100.00%,100.00%
弱势延续且当日继续大面积下跌，原始上涨改下跌,2026,强下跌,1,221,17,221,25,196,171,196,0,0,25,68.24%,-5.85%,204,204,19,185,166,11.31%,88.69%,77.38,9.31%,90.69%,81.37,100.00%,100.00%
强分歧弱回调且行业超跌，原始下跌改上涨,2025,普涨,1,15,4,15,5,10,5,0,5,10,0,27.59%,3.72%,11,11,2,9,7,33.33%,66.67%,33.33,18.18%,81.82%,63.64,100.00%,100.00%
强分歧弱回调但个股相对强，原始上涨改下跌,2025,普涨,1,26,6,26,10,16,6,16,0,0,10,48.89%,1.11%,20,20,8,12,4,38.46%,61.54%,23.08,40.00%,60.00%,20.0,100.00%,100.00%
强反弹但上涨置信度不足，原始上涨改下跌,2025,强下跌,1,199,66,199,56,143,87,143,0,0,56,54.01%,-1.35%,133,133,33,100,67,28.14%,71.86%,43.72,24.81%,75.19%,50.38,100.00%,100.00%
强反弹但上涨置信度不足，原始上涨改下跌,2026,强下跌,2,280,57,280,58,222,164,222,0,0,58,43.01%,-3.09%,223,223,37,186,149,20.71%,79.29%,58.57,16.59%,83.41%,66.82,100.00%,100.00%
强行业补涨环境，原始下跌改上涨,2025,普跌,1,9,5,9,2,7,5,0,2,7,0,26.96%,0.91%,4,4,1,3,2,22.22%,77.78%,55.56,25.00%,75.00%,50.0,100.00%,100.00%
强趋势回调且中小盘仍在高位，原始下跌改上涨,2025,强上涨,2,130,44,130,34,96,62,0,34,96,0,48.10%,3.71%,86,86,15,71,56,26.15%,73.85%,47.69,17.44%,82.56%,65.12,100.00%,100.00%
恐慌但弱势延续未形成，原始下跌改上涨,2026,强上涨,1,145,50,145,30,115,85,0,30,115,0,28.34%,2.80%,95,95,13,82,69,20.69%,79.31%,58.62,13.68%,86.32%,72.63,100.00%,100.00%
恐慌释放且弱势延续，并且大中小盘20日趋势转弱，原始上涨改下跌,2026,强下跌,1,226,29,226,39,187,148,187,0,0,39,81.96%,-4.00%,197,197,25,172,147,17.26%,82.74%,65.49,12.69%,87.31%,74.62,100.00%,100.00%
指数20日趋势转弱且弱反弹，原始上涨改下跌,2025,普跌,1,209,59,209,85,124,39,124,0,0,85,48.68%,-0.58%,150,150,59,91,32,40.67%,59.33%,18.66,39.33%,60.67%,21.33,100.00%,100.00%
指数尚稳但中小盘转弱，原始上涨改下跌,2025,强下跌,1,197,64,197,53,144,91,144,0,0,53,46.85%,-1.37%,133,133,31,102,71,26.90%,73.10%,46.19,23.31%,76.69%,53.38,100.00%,100.00%
短线冲高且个股显著强于行业，原始上涨改下跌,2025,普跌,1,7,2,7,2,5,3,5,0,0,2,44.71%,-3.24%,5,5,2,3,1,28.57%,71.43%,42.86,40.00%,60.00%,20.0,100.00%,100.00%
趋势回调但行业相对强，原始下跌改上涨,2025,强上涨,1,5,0,5,0,5,5,0,0,5,0,22.06%,12.13%,5,5,0,5,5,0.00%,100.00%,100.0,0.00%,100.00%,100.0,100.00%,100.00%
趋势回调但行业相对强，原始下跌改上涨,2026,普涨,1,20,7,20,7,13,6,0,7,13,0,24.76%,2.42%,13,13,4,9,5,35.00%,65.00%,30.0,30.77%,69.23%,38.46,100.00%,100.00%
过热回落高且指数高位延伸，上涨概率<80%，原始上涨改下跌,2026,强下跌,1,200,9,200,24,176,152,176,0,0,24,58.75%,3.03%,191,191,19,172,153,12.00%,88.00%,76.0,9.95%,90.05%,80.1,100.00%,100.00%
高位强趋势且行业强，原始下跌改上涨,2026,强下跌,1,11,1,11,10,1,-9,0,10,1,0,29.20%,1.43%,10,10,10,0,-10,90.91%,9.09%,-81.82,100.00%,0.00%,-100.0,100.00%,100.00%
高位强趋势且行业强，原始下跌改上涨,2026,普涨,1,41,11,41,15,26,11,0,15,26,0,27.72%,1.72%,30,30,10,20,10,36.59%,63.41%,26.83,33.33%,66.67%,33.33,100.00%,100.00%
高位横盘分化且强势行业不足，原始上涨改下跌,2025,普跌,1,164,36,164,49,115,66,115,0,0,49,47.73%,-1.08%,128,128,36,92,56,29.88%,70.12%,40.24,28.12%,71.88%,43.75,100.00%,100.00%
