锚点日期,锚点年份,实际市场状态,市场风险标签,日期数,股票预测数,噪声样本数,发生修正数,原始正确数,修正后正确数,修正净增正确数,原始错判为上涨数,修正后错判为上涨数,原始错判为下跌数,修正后错判为下跌数,平均预测上涨概率,平均实际5日涨跌幅,降噪后股票预测数,降噪后发生修正数,降噪后原始正确数,降噪后修正后正确数,降噪后修正净增正确数,原始准确率,修正后准确率,准确率变化百分点,降噪后原始准确率,降噪后修正后准确率,降噪后准确率变化百分点,修正覆盖率,降噪后修正覆盖率
2025-07-01,2025,普跌,常规环境,1,211,100,16,115,123,8,57,54,39,34,37.20%,-0.50%,111,9,64,67,3,54.50%,58.29%,3.79,57.66%,60.36%,2.7,7.58%,8.11%
2025-07-15,2025,强上涨,常规环境,1,211,76,14,165,171,6,32,36,14,4,45.10%,3.51%,135,10,111,117,6,78.20%,81.04%,2.84,82.22%,86.67%,4.44,6.64%,7.41%
2025-07-29,2025,震荡,常规环境,1,211,103,115,111,100,-11,45,108,55,3,56.93%,0.85%,108,65,53,60,7,52.61%,47.39%,-5.21,49.07%,55.56%,6.48,54.50%,60.19%
2025-08-12,2025,强上涨,常规环境,1,213,72,121,93,154,61,25,55,95,4,58.33%,3.64%,141,81,60,115,55,43.66%,72.30%,28.64,42.55%,81.56%,39.01,56.81%,57.45%
2025-08-26,2025,普跌,常规环境,1,215,44,164,81,147,66,116,1,18,67,43.59%,-1.26%,171,128,65,121,56,37.67%,68.37%,30.7,38.01%,70.76%,32.75,76.28%,74.85%
2025-09-09,2025,普涨,常规环境,1,216,80,41,121,132,11,81,70,14,14,48.92%,1.76%,136,31,79,90,11,56.02%,61.11%,5.09,58.09%,66.18%,8.09,18.98%,22.79%
2025-09-23,2025,震荡,恐慌释放高,1,215,85,0,120,120,0,94,94,1,1,52.14%,1.55%,130,0,80,80,0,55.81%,55.81%,0.0,61.54%,61.54%,0.0,0.00%,0.00%
2025-10-15,2025,强下跌,常规环境,1,216,67,199,71,158,87,143,0,2,58,52.50%,-1.48%,149,133,47,114,67,32.87%,73.15%,40.28,31.54%,76.51%,44.97,92.13%,89.26%
2025-11-12,2025,强下跌,常规环境,1,217,66,197,69,160,91,144,0,4,57,45.22%,-1.50%,151,133,45,116,71,31.80%,73.73%,41.94,29.80%,76.82%,47.02,90.78%,88.08%
2025-12-10,2025,普跌,常规环境,1,218,61,209,91,130,39,124,0,3,88,47.85%,-0.85%,157,150,65,97,32,41.74%,59.63%,17.89,41.40%,61.78%,20.38,95.87%,95.54%
2026-02-02,2026,强上涨,恐慌释放高+弱势延续高,1,223,76,0,186,186,0,34,34,3,3,65.31%,3.27%,147,0,127,127,0,83.41%,83.41%,0.0,86.39%,86.39%,0.0,0.00%,0.00%
2026-02-09,2026,普涨,过热回落高,1,224,89,0,125,125,0,99,99,0,0,66.58%,0.90%,135,0,78,78,0,55.80%,55.80%,0.0,57.78%,57.78%,0.0,0.00%,0.00%
2026-02-24,2026,强下跌,常规环境,1,223,38,151,80,177,97,136,12,7,34,41.27%,-3.19%,185,123,64,155,91,35.87%,79.37%,43.5,34.59%,83.78%,49.19,67.71%,66.49%
2026-03-03,2026,普涨,恐慌释放高,1,223,80,0,157,157,0,65,65,1,1,53.98%,2.50%,143,0,111,111,0,70.40%,70.40%,0.0,77.62%,77.62%,0.0,0.00%,0.00%
2026-03-10,2026,强下跌,过热回落高,1,225,52,129,109,176,67,99,1,17,48,37.43%,-3.60%,173,100,86,144,58,48.44%,78.22%,29.78,49.71%,83.24%,33.53,57.33%,57.80%
2026-03-16,2026,强下跌,常规环境,1,225,7,208,31,209,178,193,0,1,16,46.16%,-9.70%,218,202,25,207,182,13.78%,92.89%,79.11,11.47%,94.95%,83.49,92.44%,92.66%
2026-03-17,2026,强下跌,弱势延续高,1,225,17,221,29,200,171,196,0,0,25,67.42%,-5.92%,208,204,23,189,166,12.89%,88.89%,76.0,11.06%,90.87%,79.81,98.22%,98.08%
2026-03-19,2026,强下跌,恐慌释放高+弱势延续高,1,226,29,226,39,187,148,187,0,0,39,81.96%,-4.00%,197,197,25,172,147,17.26%,82.74%,65.49,12.69%,87.31%,74.62,100.00%,100.00%
2026-03-24,2026,震荡,弱势延续高,1,452,158,102,244,278,34,208,140,0,34,60.59%,0.95%,294,76,156,188,32,53.98%,61.50%,7.52,53.06%,63.95%,10.88,22.57%,25.85%
2026-03-27,2026,强下跌,常规环境,1,226,65,226,64,162,98,162,0,0,64,56.31%,-1.78%,161,161,38,123,85,28.32%,71.68%,43.36,23.60%,76.40%,52.8,100.00%,100.00%
2026-03-31,2026,强上涨,常规环境,1,227,67,145,100,185,85,12,42,115,0,33.27%,3.42%,160,95,72,141,69,44.05%,81.50%,37.44,45.00%,88.12%,43.12,63.88%,59.38%
2026-04-01,2026,震荡,常规环境,1,227,98,0,132,132,0,45,45,50,50,34.82%,0.79%,129,0,86,86,0,58.15%,58.15%,0.0,66.67%,66.67%,0.0,0.00%,0.00%
2026-04-07,2026,强上涨,常规环境,1,227,37,0,189,189,0,38,38,0,0,45.01%,5.68%,190,0,167,167,0,83.26%,83.26%,0.0,87.89%,87.89%,0.0,0.00%,0.00%
2026-04-08,2026,震荡,过热回落高,1,227,102,0,129,129,0,96,96,2,2,46.79%,1.45%,125,0,83,83,0,56.83%,56.83%,0.0,66.40%,66.40%,0.0,0.00%,0.00%
2026-04-10,2026,强上涨,过热回落高,1,227,65,0,153,153,0,51,51,23,23,40.65%,3.20%,162,0,118,118,0,67.40%,67.40%,0.0,72.84%,72.84%,0.0,0.00%,0.00%
2026-04-15,2026,强上涨,常规环境,1,454,134,0,336,336,0,104,104,14,14,53.22%,3.65%,320,0,260,260,0,74.01%,74.01%,0.0,81.25%,81.25%,0.0,0.00%,0.00%
2026-04-20,2026,普跌,常规环境,1,228,64,147,99,160,61,128,24,1,44,46.59%,-0.55%,164,108,72,124,52,43.42%,70.18%,26.75,43.90%,75.61%,31.71,64.47%,65.85%
2026-04-24,2026,普涨,常规环境,1,228,76,20,147,153,6,37,44,44,31,32.01%,2.42%,152,13,101,106,5,64.47%,67.11%,2.63,66.45%,69.74%,3.29,8.77%,8.55%
2026-04-27,2026,普涨,常规环境,1,228,69,0,159,159,0,51,51,18,18,32.61%,3.42%,159,0,122,122,0,69.74%,69.74%,0.0,76.73%,76.73%,0.0,0.00%,0.00%
2026-04-28,2026,强上涨,恐慌释放高,1,227,32,179,77,184,107,4,40,146,3,24.12%,6.28%,195,149,60,169,109,33.92%,81.06%,47.14,30.77%,86.67%,55.9,78.85%,76.41%
2026-04-29,2026,强上涨,常规环境,1,228,50,0,178,178,0,48,48,2,2,40.20%,5.87%,178,0,151,151,0,78.07%,78.07%,0.0,84.83%,84.83%,0.0,0.00%,0.00%
2026-04-30,2026,普涨,常规环境,1,228,56,0,159,159,0,51,51,18,18,45.47%,4.59%,172,0,131,131,0,69.74%,69.74%,0.0,76.16%,76.16%,0.0,0.00%,0.00%
2026-05-06,2026,普涨,常规环境,1,228,66,41,144,155,11,41,56,43,17,41.52%,3.78%,162,30,111,121,10,63.16%,67.98%,4.82,68.52%,74.69%,6.17,17.98%,18.52%
2026-05-07,2026,强下跌,过热回落高,1,228,12,211,47,190,143,180,14,1,24,56.12%,2.82%,216,201,41,184,143,20.61%,83.33%,62.72,18.98%,85.19%,66.2,92.54%,93.06%
